country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,30.75000127156576,77.25001271565755,Barley,92,147,197,224,4,5,7,8
India,30.75000127156576,77.75001271565755,Barley,246,280,8,63,9,10,1,3
India,31.25000127156576,77.75001271565755,Barley,246,280,8,63,9,10,1,3
India,31.25000127156576,78.25001271565755,Barley,92,147,197,224,4,5,7,8
India,31.25000127156576,78.75001271565755,Barley,92,147,197,224,4,5,7,8
India,31.75000127156576,78.25001271565755,Barley,92,147,197,224,4,5,7,8
India,24.25000063578288,68.75001271565755,Barley Winter,283,324,70,120,10,11,3,4
India,24.25000063578288,69.25001271565755,Barley Winter,283,324,70,120,10,11,3,4
India,25.75000063578288,70.25001271565755,Barley Winter,283,324,70,120,10,11,3,4
India,34.75000127156576,74.25001271565755,Barley Winter,283,324,70,120,10,11,3,4
India,34.75000127156576,76.75001271565755,Barley Winter,283,324,70,120,10,11,3,4
India,8.25000031789144,77.75001271565755,Cotton,15,84,148,224,1,3,5,8
India,8.75000031789144,77.25001271565755,Cotton,15,84,148,224,1,3,5,8
India,8.75000031789144,77.75001271565755,Cotton,260,287,22,70,9,10,1,3
India,9.25000031789144,77.75001271565755,Cotton,246,273,344,49,9,9,12,2
India,9.25000031789144,78.25001271565755,Cotton,211,287,323,63,7,10,11,3
India,9.25000031789144,78.75001271565755,Cotton,211,287,323,63,7,10,11,3
India,9.75000031789144,77.25001271565755,Cotton,211,287,323,63,7,10,11,3
India,9.75000031789144,77.75001271565755,Cotton,211,287,323,63,7,10,11,3
India,9.75000031789144,78.25001271565755,Cotton,211,287,323,63,7,10,11,3
India,10.25000031789144,77.25001271565755,Cotton,225,287,344,63,8,10,12,3
India,10.25000031789144,77.75001271565755,Cotton,225,287,344,63,8,10,12,3
India,10.25000031789144,78.25001271565755,Cotton,225,287,344,63,8,10,12,3
India,10.75000031789144,76.75001271565755,Cotton,225,287,344,63,8,10,12,3
India,10.75000031789144,77.25001271565755,Cotton,225,287,344,63,8,10,12,3
India,10.75000031789144,77.75001271565755,Cotton,211,273,358,49,7,9,12,2
India,11.25000031789144,77.25001271565755,Cotton,211,273,358,49,7,9,12,2
India,11.25000031789144,77.75001271565755,Cotton,211,273,358,49,7,9,12,2
India,11.750000635782875,78.75001271565755,Cotton,344,49,120,189,12,2,4,7
India,11.750000635782875,79.25001271565755,Cotton,344,49,120,189,12,2,4,7
India,11.750000635782875,79.75001271565755,Cotton,344,49,120,189,12,2,4,7
India,12.250000635782875,79.75001271565755,Cotton,344,49,120,189,12,2,4,7
India,14.250000635782875,79.75001271565755,Cotton,43,91,197,238,2,3,7,8
India,14.750000635782875,75.75001271565755,Cotton,155,196,1,42,6,7,1,2
India,14.750000635782875,76.25001271565755,Cotton,155,196,1,42,6,7,1,2
India,14.750000635782875,79.25001271565755,Cotton,43,91,197,238,2,3,7,8
India,14.750000635782875,79.75001271565755,Cotton,43,91,197,238,2,3,7,8
India,15.250000635782875,76.75001271565755,Cotton,155,196,1,42,6,7,1,2
India,15.250000635782875,77.25001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.250000635782875,77.75001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.250000635782875,78.25001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.250000635782875,78.75001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.250000635782875,79.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,15.250000635782875,79.75001271565755,Cotton,155,224,316,28,6,8,11,1
India,15.750000635782875,74.75001271565755,Cotton,155,196,309,364,6,7,11,12
India,15.750000635782875,75.25001271565755,Cotton,155,196,309,364,6,7,11,12
India,15.750000635782875,77.25001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.750000635782875,77.75001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.750000635782875,78.25001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.750000635782875,78.75001271565755,Cotton,183,238,15,63,7,8,1,3
India,15.750000635782875,79.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,15.750000635782875,79.75001271565755,Cotton,155,224,316,28,6,8,11,1
India,15.750000635782875,80.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.25000063578288,74.75001271565755,Cotton,155,196,309,364,6,7,11,12
India,16.25000063578288,79.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.25000063578288,79.75001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.25000063578288,80.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.25000063578288,80.75001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.75000063578288,80.25001271565755,Cotton,155,224,316,28,6,8,11,1
India,16.75000063578288,80.75001271565755,Cotton,155,224,316,28,6,8,11,1
India,18.75000063578288,77.25001271565755,Cotton,162,196,323,7,6,7,11,1
India,18.75000063578288,77.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,19.25000063578288,76.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.25000063578288,76.75001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.25000063578288,77.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.25000063578288,77.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,19.75000063578288,75.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.75000063578288,75.75001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.75000063578288,76.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.75000063578288,76.75001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.75000063578288,77.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,19.75000063578288,77.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,19.75000063578288,78.25001271565755,Cotton,162,196,323,7,6,7,11,1
India,19.75000063578288,78.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.25000063578288,75.25001271565755,Cotton,155,203,309,14,6,7,11,1
India,20.25000063578288,75.75001271565755,Cotton,155,203,309,14,6,7,11,1
India,20.25000063578288,76.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.25000063578288,77.25001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.25000063578288,77.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.25000063578288,78.25001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.25000063578288,78.75001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.75000063578288,74.75001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.75000063578288,75.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.75000063578288,75.75001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.75000063578288,76.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.75000063578288,76.75001271565755,Cotton,134,182,295,343,5,6,10,12
India,20.75000063578288,77.25001271565755,Cotton,162,196,323,7,6,7,11,1
India,20.75000063578288,77.75001271565755,Cotton,120,189,288,42,4,7,10,2
India,20.75000063578288,78.25001271565755,Cotton,120,189,288,42,4,7,10,2
India,20.75000063578288,78.75001271565755,Cotton,120,189,288,42,4,7,10,2
India,20.75000063578288,79.25001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,71.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,21.25000063578288,74.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,21.25000063578288,74.75001271565755,Cotton,134,182,295,343,5,6,10,12
India,21.25000063578288,75.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,21.25000063578288,75.75001271565755,Cotton,134,182,295,343,5,6,10,12
India,21.25000063578288,76.75001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,77.25001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,77.75001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,78.25001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,78.75001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.25000063578288,79.25001271565755,Cotton,120,189,288,42,4,7,10,2
India,21.75000063578288,70.75001271565755,Cotton,148,189,323,35,5,7,11,2
India,21.75000063578288,71.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,21.75000063578288,72.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,21.75000063578288,73.25001271565755,Cotton,148,189,323,28,5,7,11,1
India,21.75000063578288,73.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,21.75000063578288,74.25001271565755,Cotton,134,182,295,343,5,6,10,12
India,22.25000063578288,70.75001271565755,Cotton,148,189,323,35,5,7,11,2
India,22.25000063578288,71.25001271565755,Cotton,148,189,323,35,5,7,11,2
India,22.25000063578288,71.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,22.25000063578288,73.25001271565755,Cotton,148,189,323,28,5,7,11,1
India,22.25000063578288,73.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,22.75000063578288,70.75001271565755,Cotton,148,189,323,35,5,7,11,2
India,22.75000063578288,71.25001271565755,Cotton,148,189,323,28,5,7,11,1
India,22.75000063578288,71.75001271565755,Cotton,148,189,323,28,5,7,11,1
India,24.25000063578288,68.75001271565755,Cotton,151,209,263,351,5,7,9,12
India,24.25000063578288,69.25001271565755,Cotton,151,209,263,351,5,7,9,12
India,24.25000063578288,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,24.25000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,24.75000063578288,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,24.75000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,24.75000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,24.75000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.25000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,70.25001271565755,Cotton,151,209,263,351,5,7,9,12
India,25.75000063578288,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,83.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,25.75000063578288,84.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.25000063578288,83.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,26.75000063578288,83.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,82.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,83.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.25000063578288,83.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,81.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,81.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,27.75000127156576,82.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.25000127156576,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,28.75000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.25000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,29.75000127156576,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,74.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,80.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.25000127156576,80.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,74.25001271565755,Cotton,151,209,263,351,5,7,9,12
India,30.75000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,30.75000127156576,79.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.25000127156576,79.25001271565755,Cotton,89,136,242,303,3,5,8,10
India,31.75000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,31.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
